,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
865,IMKTA,2013-06-12,23.33,23.4,22.67,19.34977,27300,0.7299999999999969,3.980229999999999,25785.714285714286,55221.42857142857,58433.333333333336,8360.182597361405,True
1546,IMKTA,2016-02-25,36.240002,36.66,35.740002,32.969772,55300,0.9199979999999996,3.270229999999998,202342.85714285713,168900.0,161276.19047619047,112240.04705658896,False
2309,IMKTA,2019-03-08,30.01,30.01,29.389999,28.25926,43300,0.620001000000002,1.7507400000000004,57471.42857142857,49935.71428571428,56119.04761904762,39582.417246828685,True
1860,SPTN,2017-05-24,35.689999,35.82,34.330002,28.863089,238000,1.489998,6.826910000000002,382814.28571428574,282492.85714285716,288709.5238095238,244025.7798358399,False
229,SPTN,2010-11-30,16.530001,16.68,16.15,11.985309,665300,0.5300000000000011,4.544691999999998,198142.85714285713,155214.2857142857,122866.66666666667,194295.26026968673,True
1417,KR,2015-08-20,37.169998,37.73,36.639999,32.450439,8090600,1.0900009999999938,4.719558999999997,9954014.285714285,8683585.714285715,9096747.61904762,2322502.0925277807,False
1862,WMT,2017-05-26,78.370003,78.540001,77.790001,71.593636,6125800,0.75,6.776366999999993,8222728.571428572,8475050.0,11418500.0,1962925.3582448866,True
1076,WMT,2014-04-14,76.940002,77.550003,76.790001,64.910194,5375900,0.7600020000000001,12.029808000000003,5881828.571428572,5859785.714285715,5639695.238095238,865236.5815433465,False
293,IMKTA,2011-03-03,18.98,19.559999,18.98,14.574576,19000,0.5799990000000008,4.405424,27514.285714285714,31164.285714285714,26542.85714285714,11014.072630883064,False
401,TGT,2011-08-05,48.34,48.860001,47.299999,36.254467,11255100,1.5600019999999972,12.085533000000005,10480085.714285715,10287985.714285715,8868985.714285715,2897435.5525575527,False
490,SPTN,2011-12-12,17.870001,17.959999,17.49,13.264686,97300,0.4699990000000014,4.605314999999999,101457.14285714286,77171.42857142857,98942.85714285714,43270.63858166766,False
1526,KR,2016-01-27,36.889999,37.889999,36.810001,33.234306,10231400,1.0799980000000033,3.6556930000000065,8830457.142857144,9419992.857142856,8772771.42857143,1180838.006135767,True
1650,BIG,2016-07-25,53.380001,53.830002,52.970001,45.281368,1319900,0.8600009999999969,8.098633,1142214.2857142857,1011764.2857142857,940290.4761904762,381506.79240750254,False
592,COST,2012-05-09,82.220001,83.099998,82.099998,63.143257,2416000,1.0,19.076743999999998,2267657.1428571427,2491078.5714285714,2537747.619047619,367597.1624993194,True
102,WMT,2010-06-01,50.799999,51.509998,50.52,38.904877,16053600,0.9899979999999999,11.895122,17231057.14285714,16621428.57142857,17721890.476190478,4154594.4381258353,True
1514,TGT,2016-01-08,74.209999,74.790001,71.269997,59.862976,7749000,3.520004,14.347022999999993,6328242.857142857,5835928.571428572,5642371.428571428,928150.5402175459,True
2155,SPTN,2018-07-26,24.35,25.360001,24.35,21.338552,214100,1.010000999999999,3.0114480000000015,151314.2857142857,126678.57142857143,213900.0,30307.39789798753,False
1412,IMKTA,2015-08-13,49.810001,52.349998,49.709999,45.950619,151300,2.639998999999996,3.8593819999999965,139828.57142857142,139750.0,133780.95238095237,20242.015306620764,True
1313,IMKTA,2015-03-24,49.57,49.799999,48.5,43.498013,62200,1.2999989999999997,6.071987,128514.28571428571,141142.85714285713,133104.7619047619,45013.503642841235,False
1007,BIG,2014-01-03,32.09,32.34,32.040001,26.045191,304200,0.2999990000000068,6.044809000000004,1246828.5714285714,1255957.142857143,1255066.6666666667,467876.52129987616,False
721,VLGEA,2012-11-13,35.0,35.5,34.630001,24.083788,8900,0.869999,10.916212000000002,12171.42857142857,15892.857142857143,19257.14285714286,6561.949685380816,False
2252,WMK,2018-12-13,46.450001,46.790001,45.98,42.53196,59700,0.8100009999999997,3.9180410000000023,124371.42857142857,103864.28571428571,106595.23809523809,98547.75077937328,False
1157,BIG,2014-08-08,44.48,46.110001,44.48,37.446022,1229700,1.630001,7.033977999999998,692071.4285714285,671514.2857142857,861700.0,243212.5273693519,True
2310,BIG,2019-03-11,36.84,37.189999,35.060001,32.497707,3906900,2.1299980000000005,4.342293000000005,3095457.1428571427,2123214.285714286,1778500.0,2667475.5914572882,False
1753,VLGEA,2016-12-19,32.549999,33.450001,32.549999,26.671072,60700,0.9000020000000006,5.878927000000001,43185.71428571428,41671.42857142857,37738.09523809524,10002.917941627771,True
1655,TGT,2016-08-01,74.839996,75.559998,74.669998,64.339752,3818200,0.8899999999999864,10.500243999999995,4435257.142857143,6544750.0,6075842.857142857,1555584.239218861,False
1098,WMK,2014-05-15,45.029999,45.360001,44.419998,36.535275,28000,0.9400029999999973,8.494723999999998,21842.85714285714,74042.85714285714,59561.90476190476,8777.38280922006,True
1176,SPTN,2014-09-05,21.530001,21.879999,21.379999,16.967314,124700,0.5,4.562687,99328.57142857143,100471.42857142857,112833.33333333333,36142.523996206,False
1107,BIG,2014-05-29,36.950001,37.68,36.759998,30.406311,1484800,0.9200019999999967,6.543690000000002,2045771.4285714286,1392492.857142857,1260585.7142857143,2035222.598365584,True
561,WMK,2012-03-26,43.490002,43.959999,43.259998,33.999054,32100,0.7000010000000003,9.490947999999996,34914.28571428572,32864.28571428572,34500.0,12719.77409631258,False
439,VLGEA,2011-09-29,25.16,25.16,24.4,16.716969,8100,0.7600000000000016,8.443031000000001,16242.857142857143,14135.714285714286,13700.0,7958.976449421683,False
106,SPTN,2010-06-07,14.72,14.92,14.36,10.448777,123500,0.5600000000000005,4.271223000000001,103128.57142857143,92650.0,100333.33333333333,44939.18793486257,False
796,WMK,2013-03-05,40.700001,41.099998,40.509998,32.605228,17300,0.5899999999999963,8.094773000000004,19871.428571428572,18021.428571428572,20290.47619047619,7474.282437745022,True
2124,WMK,2018-06-12,54.529999,54.549999,52.41,47.927986,320700,2.139999000000003,6.6020129999999995,222428.57142857142,194000.0,160504.7619047619,64926.47961426863,True
2236,SPTN,2018-11-19,18.0,18.59,17.76,15.484115,210500,0.8299999999999983,2.515885000000001,163942.85714285713,165007.14285714287,168300.0,64754.676767514684,True
2465,SPTN,2019-10-18,12.58,12.76,12.16,11.14174,539600,0.5999999999999996,1.4382599999999996,466842.85714285716,389871.4285714286,398552.38095238095,69270.74948846646,True
1582,COST,2016-04-18,152.779999,153.710007,152.270004,135.460464,1335800,1.4400029999999902,17.319535000000002,1622414.2857142857,2227164.285714286,2425804.761904762,363796.62854234304,True
228,WMT,2010-11-29,53.650002,53.919998,53.43,41.383633,10787600,0.48999799999999993,12.266368999999997,13803628.57142857,12631764.285714285,12071438.095238095,3556740.854335322,True
